scope,direction,metric,value,status,details,checkpoint_sha256,data_manifest_sha256
hardware,both,python,3.12.3,recorded,"{""source"": ""Training provenance; never the publisher's current machine""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
hardware,both,cuda_build,12.8,recorded,"{""source"": ""Training provenance; never the publisher's current machine""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,photo_to_monet,style_mean_score,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,photo_to_monet,style_percent_agreement,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,photo_to_monet,style_quadratic_weighted_kappa,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,photo_to_monet,content_mean_score,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,photo_to_monet,content_percent_agreement,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,photo_to_monet,content_quadratic_weighted_kappa,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,photo_to_monet,artifacts_mean_score,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,photo_to_monet,artifacts_percent_agreement,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,photo_to_monet,artifacts_quadratic_weighted_kappa,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,monet_to_photo,style_mean_score,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,monet_to_photo,style_percent_agreement,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,monet_to_photo,style_quadratic_weighted_kappa,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,monet_to_photo,content_mean_score,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,monet_to_photo,content_percent_agreement,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,monet_to_photo,content_quadratic_weighted_kappa,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,monet_to_photo,artifacts_mean_score,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,monet_to_photo,artifacts_percent_agreement,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
human_audit,monet_to_photo,artifacts_quadratic_weighted_kappa,,pending,"{""reason"": ""Requires two independent human raters on the fixed blinded sample set""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
kaggle,competition,public_score,,pending,"{""reason"": ""Verified class evaluator/submission evidence has not been supplied""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
kaggle,competition,private_score,,pending,"{""reason"": ""Verified class evaluator/submission evidence has not been supplied""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
kaggle,competition,leaderboard_rank,,pending,"{""reason"": ""Verified class evaluator/submission evidence has not been supplied""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
